"p           ","o/f         ","t           ","cp          ","gam         ","pip         ","mach        ","ae          ","cf          ","isp         "
   2.41316E+01,   5.50000E+00,   3.28790E+03,   3.15659E+00,   1.17396E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.36889E+01,   5.50000E+00,   3.04531E+03,   2.67991E+00,   1.18441E+00,   1.76286E+00,   1.00000E+00,   1.00000E+00,   6.71869E-01,   1.08940E+03
   8.11418E-01,   5.50000E+00,   1.82554E+03,   1.57445E+00,   1.26040E+00,   2.97400E+01,   2.75036E+00,   4.57214E+00,   1.46577E+00,   2.37666E+03
   7.57425E-01,   5.50000E+00,   1.79976E+03,   1.57106E+00,   1.26098E+00,   3.18600E+01,   2.78916E+00,   4.79456E+00,   1.47624E+00,   2.39364E+03
   7.10169E-01,   5.50000E+00,   1.77592E+03,   1.56814E+00,   1.26150E+00,   3.39800E+01,   2.82551E+00,   5.01322E+00,   1.48584E+00,   2.40921E+03
   6.68279E-01,   5.50000E+00,   1.75368E+03,   1.56559E+00,   1.26195E+00,   3.61100E+01,   2.85987E+00,   5.22942E+00,   1.49473E+00,   2.42362E+03
   6.31220E-01,   5.50000E+00,   1.73303E+03,   1.56337E+00,   1.26236E+00,   3.82300E+01,   2.89217E+00,   5.44140E+00,   1.50292E+00,   2.43690E+03
   2.58552E+01,   5.50000E+00,   3.29349E+03,   3.12361E+00,   1.17479E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.46615E+01,   5.50000E+00,   3.04883E+03,   2.65254E+00,   1.18541E+00,   1.76348E+00,   1.00000E+00,   1.00000E+00,   6.72200E-01,   1.09031E+03
   8.69376E-01,   5.50000E+00,   1.82497E+03,   1.57395E+00,   1.26047E+00,   2.97400E+01,   2.75117E+00,   4.56838E+00,   1.46551E+00,   2.37706E+03
   8.11527E-01,   5.50000E+00,   1.79919E+03,   1.57062E+00,   1.26105E+00,   3.18600E+01,   2.78998E+00,   4.79062E+00,   1.47597E+00,   2.39403E+03
   7.60896E-01,   5.50000E+00,   1.77536E+03,   1.56775E+00,   1.26156E+00,   3.39800E+01,   2.82634E+00,   5.00910E+00,   1.48557E+00,   2.40959E+03
   7.16013E-01,   5.50000E+00,   1.75312E+03,   1.56526E+00,   1.26200E+00,   3.61100E+01,   2.86071E+00,   5.22514E+00,   1.49445E+00,   2.42399E+03
   6.76308E-01,   5.50000E+00,   1.73248E+03,   1.56308E+00,   1.26240E+00,   3.82300E+01,   2.89302E+00,   5.43696E+00,   1.50263E+00,   2.43727E+03
   2.75789E+01,   5.50000E+00,   3.29866E+03,   3.09319E+00,   1.17557E+00,   1.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00,   0.00000E+00
   1.56337E+01,   5.50000E+00,   3.05207E+03,   2.62742E+00,   1.18635E+00,   1.76407E+00,   1.00000E+00,   1.00000E+00,   6.72509E-01,   1.09115E+03
   9.27334E-01,   5.50000E+00,   1.82445E+03,   1.57348E+00,   1.26054E+00,   2.97400E+01,   2.75191E+00,   4.56493E+00,   1.46527E+00,   2.37742E+03
   8.65628E-01,   5.50000E+00,   1.79867E+03,   1.57022E+00,   1.26111E+00,   3.18600E+01,   2.79073E+00,   4.78701E+00,   1.47573E+00,   2.39439E+03
   8.11622E-01,   5.50000E+00,   1.77484E+03,   1.56741E+00,   1.26161E+00,   3.39800E+01,   2.82710E+00,   5.00534E+00,   1.48531E+00,   2.40994E+03
